No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
16558,51533-278232,JP,CO,34.736128,137.858583,"6039-2, Mitsuke",iwata,22,438-0086,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16559,30607-100270,JP,CO,34.740295,137.763218,1981-3 Suwa Tennocho Higashi-ku,hamamatsu,22,435-0052,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16560,64770-296040,JP,CO,34.739379,137.92551,3000 Takao,fukuroi,22,437-0023,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16561,25217-240248,JP,CO,34.799095,137.778949,1200 Kibune Hamakita-ku,hamamatsu,22,434-0038,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16562,29763-255190,JP,CO,34.772909000000006,137.74388000000002,1 Handayama Higashi-ku,hamamatsu,22,431-3125,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16563,19103-193565,JP,CO,34.720117,137.739524,682-1 Shinzucho Naka-ku,hamamatsu,22,430-0911,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16564,31469-108701,JP,CO,34.703823,137.735209,6-2 Sunayamacho Naka-ku,hamamatsu,22,430-0933,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16565,28999-252027,JP,LS,34.703708,137.734424,6-2 Sunayamacho Naka-ku,hamamatsu,22,430-0926,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16566,49060-266831,JP,LS,34.703976000000004,137.734092,6-1 Sunayamacho Naka-ku,hamamatsu,22,430-0926,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16567,53745-285567,JP,CO,34.713223,137.72608400000001,100-2 Motoshirocho Naka-ku,hamamatsu,22,430 0946,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16568,30178-31959,JP,CO,34.705121000000005,137.729454,15 Kajimachi Naka-ku,hamamatsu,22,430-0933,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
